order_id,order_date,ship_date,customer_name,segment,country,city,state,region,category,sub_category,product_name,sales,quantity,discount,profit
ORD00001,2023-02-21,2023-02-27,Danny Hernandez,Home Office,India,Bangalore,Gujarat,West,Office Supplies,Pen,Pen Pro,1411.4,4,0.04,-76.04
ORD00002,2024-03-23,2024-03-25,David Holder,Home Office,India,Bangalore,Karnataka,South,Technology,Laptop,Laptop Lite,2551.51,1,0.17,566.97
ORD00003,2023-01-14,2023-01-21,Sandra Walker,Corporate,India,Ahmedabad,Gujarat,West,Office Supplies,Paper,Paper Pro,4038.81,7,0.1,-121.3
ORD00004,2024-06-25,2024-07-02,Rebecca Bean,Corporate,India,Ahmedabad,Delhi,East,Furniture,Sofa,Sofa Plus,265.08,8,0.16,89.57
ORD00005,2023-04-04,2023-04-10,Thomas Michael,Consumer,India,Delhi,Delhi,West,Office Supplies,Pen,Pen Max,1178.1,5,0.3,335.63
ORD00006,2024-12-28,2024-12-30,Brian Arnold,Home Office,India,Surat,Maharashtra,West,Technology,Keyboard,Keyboard Lite,3367.37,2,0.18,-77.41
ORD00007,2024-03-25,2024-03-31,Victoria Turner,Corporate,India,Delhi,Delhi,North,Furniture,Bookshelf,Bookshelf Plus,1655.2,1,0.07,-141.61
ORD00008,2024-03-11,2024-03-17,Andrew Daniel,Home Office,India,Bangalore,Delhi,West,Office Supplies,Paper,Paper Lite,2521.19,8,0.04,-93.7
ORD00009,2023-10-11,2023-10-16,Jessica Olson,Consumer,India,Delhi,Gujarat,West,Furniture,Table,Table Lite,2492.9,1,0.26,-77.83
ORD00010,2025-12-19,2025-12-22,Charlotte Richard,Home Office,India,Mumbai,Delhi,North,Office Supplies,Stapler,Stapler Max,4856.84,1,0.2,-235.32
ORD00011,2025-07-18,2025-07-19,Stacey Lee,Home Office,India,Ahmedabad,Delhi,South,Furniture,Table,Table Plus,4771.39,5,0.29,1158.89
ORD00012,2025-12-22,2025-12-23,Teresa Hall,Corporate,India,Surat,Gujarat,South,Furniture,Table,Table Pro,3014.78,8,0.01,958.98
ORD00013,2023-05-22,2023-05-29,Christopher Horn,Home Office,India,Surat,Delhi,West,Technology,Monitor,Monitor Plus,2686.9,3,0.04,305.98
ORD00014,2024-09-30,2024-10-04,James Carter,Consumer,India,Surat,Maharashtra,North,Office Supplies,Notebook,Notebook Max,4975.99,6,0.13,661.35
ORD00015,2024-04-16,2024-04-21,Nancy Campos,Consumer,India,Ahmedabad,Delhi,North,Technology,Printer,Printer Plus,1140.08,2,0.21,-83.8
ORD00016,2024-03-14,2024-03-19,Brandon Williams,Corporate,India,Delhi,Maharashtra,North,Furniture,Desk,Desk Pro,704.94,10,0.17,6.59
ORD00017,2024-12-26,2024-12-30,Cory Martin,Consumer,India,Ahmedabad,Karnataka,East,Office Supplies,Stapler,Stapler Pro,2084.96,1,0.2,714.88
ORD00018,2024-01-25,2024-01-30,James Jackson,Consumer,India,Delhi,Gujarat,North,Technology,Mouse,Mouse Pro,2270.64,7,0.06,245.64
ORD00019,2023-12-07,2023-12-11,Gerald Griffin,Consumer,India,Delhi,Gujarat,West,Technology,Mouse,Mouse Max,2453.92,4,0.26,751.14
ORD00020,2025-05-16,2025-05-22,Linda Ramirez,Consumer,India,Mumbai,Maharashtra,North,Furniture,Sofa,Sofa Pro,4788.72,9,0.2,569.87
